city,month,type,value
吉安,202101.csv,NO2,39.23
吉安,202101.csv,O3,38.63
吉安,202101.csv,PM10,94.13
吉安,202101.csv,PM2.5,45.83
吉安,202101.csv,SO2,15.53
吉林,202101.csv,AQI,75.74
吉林,202101.csv,CO,0.95
吉林,202101.csv,NO2,30.6
吉林,202101.csv,O3,52.3
吉林,202101.csv,PM10,74.04
吉林,202101.csv,PM2.5,54.77
吉林,202101.csv,SO2,20.44
吐鲁番地区,202101.csv,AQI,116.0
吐鲁番地区,202101.csv,CO,2.32
吐鲁番地区,202101.csv,NO2,51.05
吐鲁番地区,202101.csv,O3,29.72
吐鲁番地区,202101.csv,PM10,147.89
吐鲁番地区,202101.csv,PM2.5,82.6
吐鲁番地区,202101.csv,SO2,17.78
吕梁,202101.csv,AQI,119.09
吕梁,202101.csv,CO,0.78
吕梁,202101.csv,NO2,44.21
吕梁,202101.csv,O3,21.15
吕梁,202101.csv,PM10,188.38
吕梁,202101.csv,PM2.5,49.49
吕梁,202101.csv,SO2,25.01
吴忠,202101.csv,AQI,100.62
吴忠,202101.csv,CO,0.75
吴忠,202101.csv,NO2,24.85
吴忠,202101.csv,O3,50.2
吴忠,202101.csv,PM10,158.6
吴忠,202101.csv,PM2.5,47.96
吴忠,202101.csv,SO2,22.47
吴江,202101.csv,AQI,76.38
吴江,202101.csv,CO,0.83
吴江,202101.csv,NO2,49.42
吴江,202101.csv,O3,35.74
吴江,202101.csv,PM10,91.8
吴江,202101.csv,PM2.5,45.24
吴江,202101.csv,SO2,10.16
周口,202101.csv,AQI,146.4
周口,202101.csv,CO,1.07
周口,202101.csv,NO2,40.86
周口,202101.csv,O3,36.31
周口,202101.csv,PM10,157.26
周口,202101.csv,PM2.5,101.85
周口,202101.csv,SO2,10.32
呼伦贝尔,202101.csv,AQI,35.39
呼伦贝尔,202101.csv,CO,0.5
呼伦贝尔,202101.csv,NO2,14.77
呼伦贝尔,202101.csv,O3,51.19
呼伦贝尔,202101.csv,PM10,31.57
呼伦贝尔,202101.csv,PM2.5,23.43
呼伦贝尔,202101.csv,SO2,6.13
呼和浩特,202101.csv,AQI,114.85
呼和浩特,202101.csv,CO,1.23
呼和浩特,202101.csv,NO2,36.46
呼和浩特,202101.csv,O3,33.56
呼和浩特,202101.csv,PM10,177.35
呼和浩特,202101.csv,PM2.5,60.77
呼和浩特,202101.csv,SO2,18.82
和田地区,202101.csv,AQI,123.32
和田地区,202101.csv,CO,1.55
和田地区,202101.csv,NO2,39.08
和田地区,202101.csv,O3,52.92
和田地区,202101.csv,PM10,185.79
和田地区,202101.csv,PM2.5,44.64
和田地区,202101.csv,SO2,24.35
咸宁,202101.csv,AQI,85.05
咸宁,202101.csv,CO,0.77
咸宁,202101.csv,NO2,30.09
咸宁,202101.csv,O3,37.93
咸宁,202101.csv,PM10,89.7
咸宁,202101.csv,PM2.5,54.22
咸宁,202101.csv,SO2,8.19
咸阳,202101.csv,AQI,133.15
咸阳,202101.csv,CO,1.05
咸阳,202101.csv,NO2,59.08
咸阳,202101.csv,O3,27.38
咸阳,202101.csv,PM10,151.92
咸阳,202101.csv,PM2.5,91.27
咸阳,202101.csv,SO2,12.88
哈密地区,202101.csv,AQI,87.15
哈密地区,202101.csv,CO,0.93
哈密地区,202101.csv,NO2,32.18
哈密地区,202101.csv,O3,38.23
哈密地区,202101.csv,PM10,121.0
哈密地区,202101.csv,PM2.5,38.15
哈密地区,202101.csv,SO2,14.19
哈尔滨,202101.csv,AQI,108.19
哈尔滨,202101.csv,CO,1.09
哈尔滨,202101.csv,NO2,43.24
哈尔滨,202101.csv,O3,43.63
哈尔滨,202101.csv,PM10,93.88
哈尔滨,202101.csv,PM2.5,81.5
哈尔滨,202101.csv,SO2,32.39
唐山,202101.csv,AQI,90.08
唐山,202101.csv,CO,1.35
唐山,202101.csv,NO2,50.29
唐山,202101.csv,O3,26.99
唐山,202101.csv,PM10,117.85
唐山,202101.csv,PM2.5,55.86
唐山,202101.csv,SO2,18.36
商丘,202101.csv,AQI,142.02
商丘,202101.csv,CO,0.99
商丘,202101.csv,NO2,44.26
商丘,202101.csv,O3,34.66
商丘,202101.csv,PM10,158.09
商丘,202101.csv,PM2.5,97.38
商丘,202101.csv,SO2,8.31
商洛,202101.csv,AQI,75.2
商洛,202101.csv,CO,0.7
商洛,202101.csv,NO2,37.25
商洛,202101.csv,O3,44.25
商洛,202101.csv,PM10,81.26
商洛,202101.csv,PM2.5,43.87
商洛,202101.csv,SO2,10.19
喀什地区,202101.csv,AQI,141.76
喀什地区,202101.csv,CO,2.38
喀什地区,202101.csv,NO2,49.72
喀什地区,202101.csv,O3,39.5
喀什地区,202101.csv,PM10,177.72
喀什地区,202101.csv,PM2.5,95.97
喀什地区,202101.csv,SO2,7.52
嘉兴,202101.csv,AQI,72.57
嘉兴,202101.csv,CO,0.82
嘉兴,202101.csv,NO2,51.47
嘉兴,202101.csv,O3,36.39
嘉兴,202101.csv,PM10,87.48
嘉兴,202101.csv,PM2.5,44.22
嘉兴,202101.csv,SO2,9.85
嘉峪关,202101.csv,AQI,79.59
嘉峪关,202101.csv,CO,0.57
嘉峪关,202101.csv,NO2,19.96
嘉峪关,202101.csv,O3,59.44
嘉峪关,202101.csv,PM10,102.39
嘉峪关,202101.csv,PM2.5,28.34
嘉峪关,202101.csv,SO2,16.08
四平,202101.csv,AQI,66.86
四平,202101.csv,CO,0.8
四平,202101.csv,NO2,32.11
四平,202101.csv,O3,45.84
四平,202101.csv,PM10,68.71
四平,202101.csv,PM2.5,44.6
四平,202101.csv,SO2,15.29
固原,202101.csv,AQI,64.94
固原,202101.csv,CO,0.84
固原,202101.csv,NO2,27.99
固原,202101.csv,O3,53.85
固原,202101.csv,PM10,77.31
固原,202101.csv,PM2.5,30.28
固原,202101.csv,SO2,8.89
塔城地区,202101.csv,AQI,51.1
塔城地区,202101.csv,CO,0.54
塔城地区,202101.csv,NO2,14.07
塔城地区,202101.csv,O3,59.7
塔城地区,202101.csv,PM10,61.71
塔城地区,202101.csv,PM2.5,17.09
塔城地区,202101.csv,SO2,2.31
大兴安岭地区,202101.csv,AQI,31.21
大兴安岭地区,202101.csv,CO,0.73
大兴安岭地区,202101.csv,NO2,18.32
大兴安岭地区,202101.csv,O3,37.04
大兴安岭地区,202101.csv,PM10,30.56
大兴安岭地区,202101.csv,PM2.5,14.43
大兴安岭地区,202101.csv,SO2,20.45
大同,202101.csv,AQI,114.42
大同,202101.csv,CO,1.07
大同,202101.csv,NO2,31.01
大同,202101.csv,O3,39.19
大同,202101.csv,PM10,178.26
大同,202101.csv,PM2.5,61.88
大同,202101.csv,SO2,37.71
大庆,202101.csv,AQI,55.98
大庆,202101.csv,CO,0.63
大庆,202101.csv,NO2,26.1
大庆,202101.csv,O3,45.96
大庆,202101.csv,PM10,59.38
大庆,202101.csv,PM2.5,37.47
